text,label
"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",1
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",1
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,1
Fixed drug eruption in hands caused by omeprazole.,1
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,1
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",1
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,1
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,1
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,1
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",1
Marked elevation of serum creatine kinase associated with olanzapine therapy.,1
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,1
Diclofenac-associated hepatitis.,1
"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",1
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",1
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,1
Priapism as a complication of heparin therapy.,1
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,1
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",1
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",1
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,1
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,1
Hair loss associated with paroxetine treatment: a case report.,1
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,1
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",1
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",1
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",1
Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.,1
Protamine allergy as a complication of insulin hypersensitivity: A case report.,1
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,1
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",1
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,1
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,1
Apparent central nervous system depression in infants after the use of topical brimonidine.,1
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,1
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,1
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,1
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,1
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,1
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,1
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",1
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",1
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.",1
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,1
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,1
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,1
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,1
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,1
"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",1
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,1
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,1
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",1
"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",1
"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",1
Paradoxical seizures in phenytoin toxicity.,1
"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",1
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,1
Losartan-induced angioedema.,1
OBJECTIVE: To report a case of angioedema associated with losartan administration.,1
"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",1
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,1
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,1
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,1
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.",1
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,1
Taxane-induced glaucoma.,1
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,1
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,1
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,1
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,1
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,1
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,1
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",1
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,1
In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.,1
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,1
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,1
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,1
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,1
Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.,1
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,1
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,1
The relationship between infliximab treatment and lymphoma in Crohn's disease.,1
The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,1
We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.,1
Codeine intoxication in the neonate.,1
"We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.",1
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,1
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",1
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,1
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",1
We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.,1
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",1
"A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.",1
After abstinence from oolong tea his delirium resolved.,1
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,1
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",1
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,1
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",1
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",1
We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.,1
Elevated serum triglycerides with clozapine resolved with risperidone in four patients.,1
In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.,1
This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.,1
Intravenous valproate associated with significant hypotension in the treatment of status epilepticus.,1
"To our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population.",1
We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.,1
In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,1
A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.,1
"Salicylate intoxication was excluded, and theophylline was finally incriminated.",1
Theophylline intoxication mimicking diabetic ketoacidosis in a child.,1
"This compound, used by adults in the child's home, had caused accidental theophylline poisoning, mimicking diabetic ketoacidosis.",1
Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature.,1
Ten to 15% of patients treated with ifosfamide develop an encephalopathy.,1
We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.,1
Portal vein thrombosis in a patient with severe haemophilia A and F V G1691A mutation during continuous infusion of F VIII after intramural jejunal bleeding--successful thrombolysis under heparin therapy.,1
We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.,1
A 60-year-old woman with diabetes mellitus (type 2) developed an acute icteric hepatitis-like illness 6 weeks after the initiation of gliclazide therapy.,1
Gliclazide-induced acute hepatitis.,1
"In conclusion, this case strongly suggests that gliclazide can induce acute icteric liver necro-inflammation which may be misdiagnosed clinically as acute viral hepatitis.",1
We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.,1
"We describe the case of acute hepatitis induced by gliclazide, a second generation sulfonylurea.",1
"Caution is, therefore, needed to prevent undesired accumulation of TCA that may lead to protracted Cushing's syndrome.",1
Cushing's syndrome persisted more than 6 months while TCA concentrations remained detectable for at least 80 days.,1
"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).",1
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",1
Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.,1
"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",1
The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.,1
The spectrum of nitrofurantoin lung injury continues to widen.,1
The two middle aged women presented with respiratory symptoms after prolonged treatment with nitrofurantoin.,1
"We suggest that the previous classification of nitrofurantoin induced lung injury into ""acute"" and ""chronic"" injury is an oversimplification in view of the wide variety of pathological entities that have subsequently emerged.",1
Intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha.,1
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,1
Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.,1
The development of erythroid leukemia plus carcinoma in these two men suggests mutagenic change secondary to cyclophosphamide therapy.,1
"Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.",1
This is the first report of UFT-induced scleroderma-like reaction.,1
We report a case of a scleroderma-like reaction induced by long-term administration of UFT.,1
Central nervous system manifestations of an ibuprofen overdose reversed by naloxone.,1
"Ibuprofen overdose is usually characterized by GI upset, dizziness, and mild sedation.",1
"Presently, treatment of acute ibuprofen intoxication with complications requires supportive therapy until the symptoms resolve over 24 to 48 hours.",1
We report the case of an 11-month-old female infant with a depressed level of consciousness after ingestion of ibuprofen whose mental status markedly improved with administration of naloxone.,1
Flecainide-associated pneumonitis with acute respiratory failure in a patient with the LEOPARD syndrome.,1
"Flecainide is a rare cause of hypersensitivity pneumonitis, and few cases have been reported.",1
"We describe a case of interstitial hypoxaemiant pneumonitis probably related to flecainide in a patient with the LEOPARD syndrome, a rare congenital disorder.",1
Sagittal sinus thrombosis associated with transient free protein S deficiency after L-asparaginase treatment: case report and review of the literature.,1
We report the case of an adult patient with acute lymphoblastic leukemia who presented with repeated transient ischemic attacks followed by a seizure during consolidation treatment with L-asparaginase.,1
We report on a young adolescent with benign intracranial hypertension which we attribute to the use of minocycline for acne.,1
We report 2 patients who developed polyarteritis nodosa following vaccination against hepatitis B.,1
"In this case, it was suspected that a combination of cigarette smoking, pulmonary fibrosis, and low-dose methotrexate therapy might have promoted the development of lung cancer.",1
This case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 French coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm.,1
"However, as illustrated by these and other cases reported to date, the onset of troglitazone-induced liver injury is insidious and temporally variable.",1
It remains to be seen whether the hepatotoxicity associated with troglitazone is a drug-class effect or specific to troglitazone.,1
Other thiazolidinediones currently in clinical trials may be able to provide the therapeutic benefits of troglitazone without significant hepatotoxicity.,1
The three reported cases demonstrate that troglitazone is an idiosyncratic hepatotoxin that can lead to irreversible liver injury.,1
Troglitazone-induced fulminant hepatic failure.,1
Nitrofurantoin-induced lung disease: two cases demonstrating resolution of apparently irreversible CT abnormalities.,1
"We present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial HRCT showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis.",1
Fluoxetine-related death in a child with cytochrome P-450 2D6 genetic deficiency.,1
The medical examiner's report indicated death caused by fluoxetine toxicity.,1
This is the first report of a fluoxetine-related death in a child with a confirmed genetic polymorphism of the CYP2D6 gene that results in impaired drug metabolism.,1
"A 50-year-old woman with a history of migraine without aura, predominantly occurring around her menstrual periods, developed a spinal cord lesion following the use of zolmitriptan.",1
Spinal cord infarction during use of zolmitriptan: a case report.,1
The temporal relationship suggests that the spinal cord infarction may be related to the use of zolmitriptan.,1
CASE SUMMARY: A 10-year-old white girl with bilateral optic glioma developed a hypersensitivity reaction to carboplatin after nine courses.,1
This regimen could prove useful for other patients who develop hypersensitivity reactions to carboplatin and allow therapy to continue.,1
Perinatal vasoconstrictive renal insufficiency associated with maternal nimesulide use.,1
This is the first report of an adverse effect of fetal renal circulation by maternal ingestion of nimesulide.,1
"Although the t-AML developed following oral etoposide therapy, the child had previously received high-dose, multiagent chemotherapy, and rearrangement of the MLL gene was not demonstrated.",1
Secondary leukemia in a child with neuroblastoma while on oral etoposide: what is the cause?,1
"The authors present a case of t-AML that developed in a child with metastatic neuroblastoma 18 months after he received oral etoposide, given for palliation purpose.",1
"BACKGROUND: Cyanamide, an aversive agent widely used in Japan, is known to induce various degrees of hepatic lesion with ground-glass inclusion bodies.",1
Case 2: A 43-year-old male alcoholic remained completely abstinent with cyanamide treatment for 5 years and complained of general fatigue.,1
Case 3: A 29-year-old female alcoholic complained of general fatigue and a slight fever after 1.5 years of abstinence with cyanamide treatment.,1
Case 4: A 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.,1
"CONCLUSION: In some abstainers who take cyanamide for several years, thin septum-like liver fibrosis progresses along with the emergence of ground-glass hepatocytes.",1
Cyanamide-induced liver dysfunction after abstinence in alcoholics: a long-term follow-up study on four cases.,1
"When cyanamide-treated alcoholics relapse into drinking, more severe inflammation develops in the liver.",1
A patient with an allergy to a macrolide antibiotic was given tacrolimus and developed a sudden cutaneous reaction.,1
A 77-year-old woman with no history of epilepsy presented a probable nonconvulsive status epilepticus while receiving continuous intravenous morphine for back pain relating to vertebral metastasis of a malignant lymphoma.,1
A generalized tonic-clonic seizure occurred a few minutes after injection of the morphine antagonist naloxone.,1
Nonconvulsive status epilepticus: the role of morphine and its antagonist.,1
Spontaneous bacterial peritonitis induced by intraarterial vasopressin therapy.,1
"Although the literature on the use of risperidone in elderly patients with dementia consists largely of uncontrolled trials, case reports, and chart reviews, it appears that this agent is effective for managing agitation in this population and does so with a low frequency of extrapyramidal symptoms (EPS).",1
"Three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the CHOP regimen.",1
"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.",1
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",1
A case of normotensive scleroderma renal crisis after high-dose methylprednisolone treatment.,1
HUS has been reported after several anticancer chemotherapies and most often after mitomycin C-based chemotherapy regimens.,1
Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.,1
"We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.",1
"An evaluation of ovarian structure and function should be considered in women of reproductive age being treated with valproate for epilepsy, especially if they develop menstrual cycle disturbances during treatment.",1
"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",1
CONCLUSIONS: The 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.,1
OBJECTIVE: To describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.,1
PATIENTS: Three patients developed a reproductive endocrine disorder during treatment with valproate.,1
RESULTS: Replacing valproate with lamotrigine resulted in a decrease in serum testosterone concentrations in all 3 women.,1
"The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.",1
"However, recurrent staphylococcus aureus sepsis developed during CyA therapy.",1
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.,1
A 60 year-old woman with chronic renal failure developed acute proximal muscle weakness after receiving a regular dosage of colchicine.,1
Colchicine-induced myopathy in renal failure.,1
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.,1
A third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.,1
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.,1
Physicians should be aware that PLP can occur after initiation of paclitaxel.,1
We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.,1
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.,1
Our experience supports hemodialysis for ESRF patients with atenolol toxicity.,1
Allergic reaction to gemfibrozil manifesting as eosinophilic gastroenteritis.,1
We describe a case of EGE manifested as an allergy to gemfibrozil.,1
This is the second report of lactic acidosis in a patient on stavudine and lamivudine.,1
We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.,1
"Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.",1
A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.,1
Propafenone-induced ataxia: report of three cases.,1
We describe 3 elderly patients with moderate to severe ataxia that occurred while they were taking propafenone.,1
"A 74-year-old man received oral administration of pilsicainide, a pure sodium channel blocker with slow recovery kinetics, to convert paroxysmal atrial fibrillation to sinus rhythm and developed loss of consciousness two days later.",1
"When pilsicainide is prescribed in patients with coronary artery disease or renal dysfunction, close attention must be paid to avoid life-threatening arrhythmias due to high plasma concentrations of the drug.",1
"The cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.",1
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.,1
The events of non-convulsive status epilepticus subsided following reduction in tiagabine dosages.,1
This is the first report of non-convulsive status epilepticus provoked by tiagabine in adolescent patients.,1
There have been many reports of probable lithium-induced organic brain syndromes occurring when serum lithium levels are within or close to the therapeutic range.,1
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.",1
Protease inhibitor-induced carbamazepine toxicity.,1
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,1
"Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.",1
The patient was diagnosed with carbamazepine toxicity related to the introduction of ritonavir.,1
Anaphylaxis to calcitonin.,1
CONCLUSION: We have introduced a case of anaphylaxis by calcitonin that suggest an IgE mediated hypersensitivity reaction.,1
The intramuscular challenge test with 25 UI of Miacalcic was positive with an immediate anaphylactic reaction.,1
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",1
Minocycline as a cause of drug-induced autoimmune hepatitis.,1
Minocycline-induced autoimmune hepatitis is usually identical to sporadic autoimmune hepatitis.,1
We describe the clinical and liver biopsy morphologic features for 4 patients with minocycline-induced autoimmune hepatitis (group 1).,1
L-asparaginase-provoked seizures as singular expression of central nervous toxicity.,1
Patients treated with L-asparaginase may present with hemorrhagic and thrombotic cerebrovascular events.,1
We report a case of seizure associated with L-asparaginase therapy but no evidence of hemorrhagic or thrombotic cerebrovascular events.,1
"Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.",1
Incidence of seizures in pediatric cancer patients treated with imipenem/cilastatin.,1
Proconvulsive tendency of imipenem/cilastatin is one of its well-known side effects.,1
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",1
Gabapentin-induced mood changes with hypomanic features in adults.,1
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.,1
Acute pancreatitis in a child with idiopathic ulcerative colitis on long-term 5-aminosalicylic acid therapy.,1
We describe a 10-year-old boy with ulcerative colitis who developed acute pancreatitis while on long-term treatment with 5-aminosalicylic acid.,1
